City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Antsohihy,MG,76.12,clear sky,-14.88,47.99,Hotel de Ville
212,Alofi,NU,80.6,few clouds,-19.06,-169.92,Taloa Heights
216,Naze,JP,84.2,few clouds,28.37,129.48,奄美ポートタワーホテル
217,Nicoya,CR,75.67,overcast clouds,10.15,-85.45,Guayacan Real
223,Albanel,CA,71.6,broken clouds,48.88,-72.45,Camping municipal d'Albanel
226,Toora-Khem,RU,75.38,broken clouds,52.47,96.11,
229,Bilma,NE,82.31,clear sky,18.69,12.92,Expeditions Ténére voyages
235,Kingman,US,87.01,clear sky,35.19,-114.05,Rodeway Inn Kingman Route 66
238,Arraial Do Cabo,BR,71.38,clear sky,-22.97,-42.03,Pousada Porto Praia
246,Bayir,TR,71.6,thunderstorm,37.27,28.22,Buban Otel
247,Le Port,RE,75.2,broken clouds,-20.94,55.29,Villa Maido
248,Hithadhoo,MV,84.69,few clouds,-0.6,73.08,Scoop Guest House
249,Korla,CN,89.01,scattered clouds,41.76,86.15,Gulisitan Hotel
253,Houma,US,77.0,overcast clouds,29.6,-90.72,Courtyard by Marriott Houma
257,Saint-Georges,GD,80.04,broken clouds,12.06,-61.75,Radisson Grenada Beach Resort
259,Borogontsy,RU,84.97,scattered clouds,62.67,131.17,
261,Kaya,BF,84.11,scattered clouds,13.09,-1.08,Maison de l'appelé
271,Dzaoudzi,YT,82.4,few clouds,-12.79,45.27,Le Rocher
273,Dzilam Gonzalez,MX,80.01,overcast clouds,21.28,-88.93,Amina
275,Vanavara,RU,81.19,broken clouds,60.34,102.28,Church of Churches
276,Sidi Ali,DZ,74.3,clear sky,36.1,0.42,
277,Seoul,KR,89.6,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
281,Sarangani,PH,84.09,scattered clouds,5.4,125.46,Ballistic Islet
284,Gazanjyk,TM,87.35,clear sky,39.24,55.52,Railway motel
290,Hirara,JP,86.0,shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
295,Ust-Nera,RU,82.53,broken clouds,64.57,143.2,Hotel Ust-Nera
297,Puerto Quijarro,BO,70.5,overcast clouds,-17.78,-57.77,Hotel palance
298,Gizo,SB,85.21,clear sky,-8.1,156.84,Imagination Island
299,Eyl,SO,86.5,broken clouds,7.98,49.82,Amiin Hotel
300,Arlit,NE,87.53,clear sky,18.74,7.39,Hôtel Telwa Bungalow
305,Sao Filipe,CV,77.38,clear sky,14.9,-24.5,Tortuga B&B
306,Garowe,SO,82.89,broken clouds,8.41,48.48,Curubo Hotel
307,Xining,CN,72.99,broken clouds,36.62,101.77,Super Leisure Hotel
308,Chalus,IR,80.6,clear sky,36.66,51.42,نظام مهندسي ساختمان چالوس
311,Nizhniy Kuranakh,RU,72.23,overcast clouds,58.84,125.49,Park Pobedy
315,Avera,US,73.4,haze,33.19,-82.53,
317,Gasa,PS,73.99,few clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
319,Kamaishi,JP,80.6,scattered clouds,39.27,141.88,Hotel Route Inn Kamaishi
322,Asaba,NG,71.55,overcast clouds,6.2,6.73,Crimson Suite Hotels
324,Tamandare,BR,75.99,scattered clouds,-8.76,-35.1,Pousada 100 Passos
327,Turayf,SA,73.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
328,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
330,Komsomolskiy,UZ,86.0,overcast clouds,40.43,71.72,Ikathouse
331,Boa Vista,BR,77.0,thunderstorm,2.82,-60.67,Aipana Plaza Hotel
337,Atambua,ID,81.64,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
338,Buraydah,SA,87.8,clear sky,26.33,43.98,Mövenpick Hotel Qassim
346,Kirensk,RU,76.95,broken clouds,57.79,108.11,Гостиница/кв (дом Косыгина А.Н.)
347,Fukue,JP,82.4,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
